,track_id,artists,album_name,track_name,popularity,duration_ms,explicit,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,track_genre,dist,is_query
0,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,0,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alternative,0.0,1
1,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,0,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,grunge,0.0,0
2,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,0,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,rock,0.0,0
3,4gHnSNHs8RyVukKoWdS99f,Nirvana,Nevermind (Remastered),Something In The Way,76,232146,0,0.427,0.201,8,-13.044,1,0.0317,0.745,0.263,0.109,0.0668,105.218,4,alt-rock,0.0,0
4,34dx8DACTJsc3rsJdaEIQw,Stromae,racine carrée,Papaoutai,74,232146,0,0.734,0.809,10,-7.264,0,0.0839,0.0266,0.0,0.0642,0.254,116.024,4,house,12.65966003808949,0
5,2e3cJdJ8xWwydl8JIYlCqB,WayV,Love Talk (English Version),Love Talk - English Version,69,232150,0,0.751,0.719,6,-5.198,0,0.0373,0.142,0.0,0.148,0.437,98.01,4,k-pop,13.581592631204927,0
6,6g8vNyogMW32lhHlNcDiwX,Fireboy DML;Chris Brown;Shenseea,Playboy,Diana,63,232155,1,0.786,0.357,2,-7.735,0,0.0372,0.0695,8.37e-05,0.11,0.524,108.946,4,dancehall,18.16510859644956,0
7,5yRAFKdtf6CXxESXbXV1lp,Whitesnake,Whitesnake (30th Anniversary Super Deluxe Edition),Here I Go Again - Radio Mix,59,232133,0,0.48,0.887,7,-4.91,1,0.0319,0.147,0.00011,0.33,0.69,92.971,4,british,26.009388774673273,0
8,28odLhBa4Yh2yPoDWJMOPb,Jubin Nautiyal,Shish Nawata Hoon,Shish Nawata Hoon,58,232142,0,0.382,0.688,7,-4.767,1,0.0401,0.464,0.0,0.0857,0.468,83.227,4,pop-film,29.894175166577185,0
9,28odLhBa4Yh2yPoDWJMOPb,Jubin Nautiyal,Shish Nawata Hoon,Shish Nawata Hoon,58,232142,0,0.382,0.688,7,-4.767,1,0.0401,0.464,0.0,0.0857,0.468,83.227,4,k-pop,29.894175166577185,0
10,3B1Je3rlEac3p4ikYW13zw,Dom Dolla;Go Freek,Define,Define,59,232129,0,0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,4,deep-house,31.798109458547124,0
11,3B1Je3rlEac3p4ikYW13zw,Dom Dolla;Go Freek,Define,Define,59,232129,0,0.405,0.808,0,-3.867,0,0.0355,0.18,0.000412,0.133,0.32,122.043,4,groove,31.798109458547124,0
12,1JqVkjt28jeJY9cL4ioboU,Pranish VP,Closer X Channa Mereya,Closer X Channa Mereya,49,232150,0,0.564,0.451,4,-8.226,1,0.0269,0.687,0.0,0.206,0.743,90.005,4,indian,31.878973846094862,0
13,0YpzP03QziAgqcZSCtjbl2,Daughtry,Baptized (Deluxe Version),Battleships,54,232133,0,0.49,0.746,1,-4.951,1,0.0405,0.0121,0.0,0.0624,0.331,81.848,4,grunge,36.25786680225411,0
14,0OP07gLuFKLHyV2GhdzyMd,Zezé Di Camargo & Luciano,Zezé Di Camargo & Luciano 1992,Leva Minha Timidez,44,232133,0,0.621,0.53,4,-10.788,1,0.0367,0.102,0.0,0.239,0.768,119.044,3,sertanejo,37.51512912732675,0
15,3DpGyWrBsi29h0ee7KldAe,Elaine de Jesus;Vanilda Bordieri;Eliane Silva;Lydia Moisés;Suelen de Jesus;Célia Sakamoto;Elaine Martins;Shirley Carvalhaes,Elaine de Jesus - Manifestação da Glória (Ao Vivo),"Deus Tremendo (feat. Vanilda Bordieri, Eliane Silva, Lydia Moisés, Suelen de Jesus, Célia Sakamoto, Elaine Martins & Shirley Carvalhaes) - Ao Vivo",38,232146,0,0.575,0.898,10,-4.158,1,0.0446,0.256,6.14e-05,0.88,0.619,109.963,4,gospel,39.38516883240911,0
16,2SBkwSedtTogejeZhh61IC,Mattia Vlad Morleo,Latent Dream,Latent Dream,54,232174,0,0.335,0.0615,4,-30.169,1,0.0435,0.995,0.927,0.109,0.0352,96.309,4,ambient,40.7083328576595,0
17,5F9jisEWYYQc2jA0zT0GEy,Stylo;Space Motion,Yeke Yeke,Yeke Yeke - Radio Edit,42,232131,0,0.724,0.819,10,-6.109,1,0.0476,0.00835,0.501,0.213,0.581,121.968,4,techno,41.41257810946452,0
18,6z4n862KhNJNWDYSn4aLL5,L'Impératrice,Tako Tsubo,Anomalie bleue,53,232178,0,0.849,0.378,0,-11.972,0,0.0455,0.324,0.583,0.293,0.229,116.998,4,synth-pop,41.93407913952564,0
19,19gWKISRrdEpywKRkZHphI,Armaan Malik;Sam C.S.;Manoj Muntashir,Vikram Vedha,Yaara,48,232164,0,0.22,0.433,8,-9.075,0,0.0323,0.715,2.88e-06,0.129,0.22,80.004,4,pop-film,41.96056920592389,0
20,3GCdLUSnKSMJhs4Tj6CV3s,Kendrick Lamar;SZA,Black Panther The Album Music From And Inspired By,All The Stars (with SZA),83,232186,1,0.698,0.633,8,-4.946,1,0.0597,0.0605,0.000194,0.0926,0.552,96.924,4,hip-hop,42.2421848895584,0
