,model,acc,cm,f1
0,random_forest_df_noeng_store_scaled,0.9728049728049728,"[[24  1  0 ...  0  0  0]
 [ 2 34  0 ...  0  0  0]
 [ 0  0 36 ...  0  0  0]
 ...
 [ 0  0  0 ... 21  0  0]
 [ 0  0  0 ...  0 32  0]
 [ 0  0  0 ...  0  0 31]]","[0.92307692 0.93150685 0.97297297 0.98181818 1.         0.96
 1.         1.         1.         1.         1.         0.85185185
 0.98734177 1.         0.98113208 1.         1.         0.98039216
 0.91304348 1.         0.95833333 0.97777778 0.90566038 0.98360656
 0.98181818 0.97058824 0.95652174 0.875      1.         0.97777778
 0.93939394 1.         1.         0.95833333 1.         0.95833333
 0.93150685 1.         1.         0.9122807  1.         1.
 1.         1.         1.        ]"
1,random_forest_df_noeng_store_not_scaled,0.9634809634809635,"[[29  1  0 ...  0  0  0]
 [ 0 31  0 ...  0  0  0]
 [ 0  0 24 ...  0  0  0]
 ...
 [ 0  0  0 ... 28  0  0]
 [ 0  0  0 ...  0 21  0]
 [ 0  0  0 ...  0  0 26]]","[0.89230769 0.95384615 0.94117647 0.98630137 1.         0.98550725
 0.94594595 0.96153846 0.98305085 1.         0.87804878 0.96385542
 0.98181818 0.98360656 0.98305085 1.         1.         0.96666667
 0.92537313 1.         0.97142857 1.         0.85714286 0.94915254
 1.         0.96       0.97435897 0.95081967 1.         0.93333333
 0.83870968 0.94339623 1.         1.         1.         0.96296296
 0.95081967 1.         0.93333333 0.85714286 1.         1.
 1.         1.         0.96296296]"
2,svc_df_noeng_store_scaled,0.7824397824397824,"[[16  3  0 ...  0  0  0]
 [ 2 20  0 ...  0  0  0]
 [ 0  0 17 ...  0  0  0]
 ...
 [ 0  0  0 ... 34  0  0]
 [ 0  0  0 ...  0 32  0]
 [ 0  0  0 ...  0  0 24]]","[0.61538462 0.75471698 0.66666667 0.67924528 0.78688525 0.6984127
 0.96       0.94736842 0.84210526 0.87096774 0.58064516 0.94915254
 0.78651685 0.94915254 0.9        1.         0.94915254 0.63829787
 0.72222222 0.85106383 0.76       0.45283019 0.84210526 0.52380952
 0.85294118 0.61016949 0.81632653 0.92682927 0.95652174 0.30769231
 0.16666667 0.91139241 0.93333333 0.92307692 0.78431373 0.52173913
 0.64       0.98181818 0.38888889 0.89655172 0.93150685 0.90196078
 0.97142857 1.         0.92307692]"
3,svc_df_noeng_store_not_scaled,0.20590520590520592,"[[ 1  0  0 ...  0  0  0]
 [ 0 10  0 ...  0  0  0]
 [ 0  0  0 ...  0  0  0]
 ...
 [ 0  0  0 ... 25  0  0]
 [ 0  0  0 ...  0  0  0]
 [ 0  0  0 ...  2  0 13]]","[0.05263158 0.26315789 0.         0.         0.18918919 0.30909091
 0.         0.27118644 0.         0.30769231 0.         0.
 0.30188679 0.         0.         0.18292683 0.25396825 0.
 0.23809524 0.29565217 0.         0.12       0.         0.0952381
 0.35555556 0.         0.23076923 0.         0.         0.47619048
 0.         0.31404959 0.51428571 0.0952381  0.         0.
 0.05128205 0.10526316 0.         0.20779221 0.14705882 0.04545455
 0.40983607 0.         0.36619718]"
4,kneighbors_df_noeng_store_scaled,0.8057498057498057,"[[21  3  0 ...  0  0  0]
 [ 3 26  0 ...  0  0  0]
 [ 0  0 23 ...  0  0  0]
 ...
 [ 0  0  0 ... 28  0  0]
 [ 0  0  0 ...  0 32  0]
 [ 0  0  0 ...  0  0 23]]","[0.55263158 0.75362319 0.71875    0.51162791 0.87272727 0.77272727
 0.92       0.9375     0.78787879 0.91525424 0.73684211 0.80769231
 0.71875    0.93877551 0.75       0.95522388 0.92537313 0.69565217
 0.77192982 0.83333333 0.89795918 0.62068966 0.8627451  0.83018868
 0.96428571 0.85185185 0.83870968 0.8        0.83333333 0.5106383
 0.33333333 0.95774648 0.98245614 0.87179487 0.75757576 0.7
 0.67924528 1.         0.50909091 0.92592593 0.94117647 0.85185185
 0.96551724 1.         0.85185185]"
5,kneighbors_df_noeng_store_not_scaled,0.19658119658119658,"[[11  1  0 ...  0  0  0]
 [ 2  8  0 ...  0  0  0]
 [ 0  0 11 ...  0  0  0]
 ...
 [ 0  0  1 ...  5  0  0]
 [ 0  0  1 ...  0  9  0]
 [ 0  0  0 ...  0  0  4]]","[0.19469027 0.19047619 0.31884058 0.26470588 0.30555556 0.14285714
 0.18918919 0.20253165 0.29411765 0.11764706 0.23076923 0.15584416
 0.19047619 0.10714286 0.08       0.16       0.03225806 0.16666667
 0.15686275 0.20338983 0.25       0.19672131 0.15151515 0.
 0.28       0.08163265 0.14285714 0.11320755 0.21818182 0.38596491
 0.1509434  0.21818182 0.72340426 0.13043478 0.14634146 0.12765957
 0.19230769 0.24489796 0.04761905 0.13953488 0.20408163 0.06896552
 0.20408163 0.3        0.25      ]"
6,tree_df_noeng_store_scaled,0.9526029526029526,"[[24  0  0 ...  0  0  0]
 [ 0 28  0 ...  0  0  0]
 [ 0  0 29 ...  0  0  0]
 ...
 [ 0  0  0 ... 22  0  0]
 [ 0  0  0 ...  0 22  0]
 [ 0  0  0 ...  0  0 17]]","[0.81355932 0.90322581 0.95081967 0.95081967 0.94545455 0.97777778
 0.96296296 0.96296296 0.90322581 0.92857143 0.96470588 0.94339623
 0.8372093  0.96875    0.94545455 1.         0.98245614 0.96969697
 0.9047619  1.         0.96551724 0.96153846 0.94545455 0.92307692
 1.         0.90625    0.95454545 0.95238095 1.         0.94117647
 0.85294118 0.95522388 1.         1.         1.         0.94117647
 0.94545455 1.         0.93103448 0.94339623 1.         0.98591549
 1.         1.         0.91891892]"
7,tree_df_noeng_store_not_scaled,0.9471639471639471,"[[15  1  0 ...  0  0  0]
 [ 1 30  0 ...  0  0  0]
 [ 0  0 22 ...  0  0  0]
 ...
 [ 0  0  0 ... 27  0  0]
 [ 0  0  0 ...  0 27  0]
 [ 0  0  0 ...  0  0 24]]","[0.85714286 0.86956522 0.83018868 0.96551724 0.98360656 0.98795181
 0.95081967 0.95454545 0.97777778 0.93617021 0.92       0.92307692
 0.93548387 1.         0.96296296 1.         1.         0.91803279
 0.80769231 1.         0.90909091 0.97368421 0.96666667 0.96
 0.98245614 0.88888889 0.92957746 0.92307692 1.         0.87804878
 0.81690141 0.98360656 0.94736842 0.97777778 0.94339623 0.98181818
 0.91566265 1.         0.92857143 0.96428571 1.         1.
 1.         0.96428571 0.96      ]"
8,random_forest_df_week_store_scaled,0.9696969696969697,"[[23  0  0 ...  0  0  0]
 [ 1 35  0 ...  0  0  0]
 [ 0  0 27 ...  0  0  0]
 ...
 [ 0  0  0 ... 38  0  0]
 [ 0  0  0 ...  0 35  0]
 [ 0  0  0 ...  0  0 25]]","[0.93877551 0.93333333 1.         1.         1.         1.
 0.96296296 1.         1.         1.         1.         0.8852459
 1.         0.98181818 0.98412698 0.97959184 1.         0.92857143
 0.8627451  1.         0.95774648 0.96       0.92682927 0.88888889
 1.         0.96666667 0.98666667 0.88135593 0.98412698 0.97560976
 0.875      0.96774194 1.         1.         1.         0.96875
 0.96551724 1.         0.97142857 0.94736842 0.98113208 1.
 1.         1.         0.98039216]"
9,random_forest_df_week_store_not_scaled,0.9751359751359752,"[[23  1  0 ...  0  0  0]
 [ 0 23  0 ...  0  0  0]
 [ 0  0 25 ...  0  0  0]
 ...
 [ 0  0  0 ... 33  0  0]
 [ 0  0  0 ...  0 29  0]
 [ 0  0  0 ...  0  0 25]]","[0.92       0.93877551 0.96153846 0.97959184 0.98360656 1.
 0.98039216 0.98113208 0.98461538 1.         1.         0.9
 0.98245614 1.         0.98412698 1.         1.         0.98360656
 0.98412698 1.         1.         0.98550725 0.95238095 0.98305085
 1.         0.98039216 1.         0.89285714 0.98412698 0.96428571
 0.84745763 0.98412698 1.         1.         0.98305085 0.96
 0.92063492 1.         0.95454545 0.94117647 1.         1.
 1.         1.         1.        ]"
