,Unnamed: 0,model,mae,median,r2,score,score_by_max,score_by_min,score_by_mean,score_by_median,score_by_std
0,0,tree_noeng,84706.75754153582,43572.073243243096,0.9079663506949192,584606.3660695434,15.31,278.4,55.84,60.85,103.59
1,1,random_forest_noeng,77758.53443030301,38878.42639999976,0.9295368754731692,548287.6462258896,14.36,261.11,52.37,57.07,97.15
2,2,linear_noeng,434934.0246757357,394571.93002966,0.1347393911370993,469524.0295420152,12.3,223.6,44.85,48.87,83.19
3,3,xgb_noeng,68052.06550383645,38991.07250000001,0.9541169692901404,537560.2471887991,14.08,256.0,51.34,55.95,95.25
4,4,tree_noeng_nostore,335014.412404824,233808.99371428555,0.3288094405828758,728297.011889614,19.07,346.83,69.56,75.81,129.05
5,5,random_forest_noeng_nostore,374374.1372875558,255421.86849999972,0.1440790300473755,705715.5576882042,18.48,336.08,67.41,73.45,125.05
6,6,linear_noeng_nostore,467747.71191178827,463305.0113948471,0.0214518059286893,499858.3530696604,13.09,238.04,47.74,52.03,88.57
7,7,xgb_noeng_nostore,421790.2028772096,263836.06000000006,-0.0316695155120327,691536.0873283271,18.11,329.32,66.05,71.98,122.53
8,8,tree_week,345916.32646924566,245426.50102040824,0.2267407154195301,734468.838308762,19.23,349.77,70.15,76.45,130.14
9,9,random_forest_week,400959.19522304623,278020.17275000026,0.0846945996601317,694071.9171367852,18.18,330.53,66.29,72.24,122.98
10,10,linear_week,462639.8545208513,441489.34570117935,0.0269130993025255,499710.50333800464,13.09,237.97,47.73,52.01,88.54
11,11,xgb_week,423145.5843933323,268788.35250000004,-0.0723865339246403,667818.9032986233,17.49,318.03,63.79,69.51,118.33
12,12,tree_week_prev,58684.22347348695,35079.51712121209,0.9722378816216716,88647.2504698344,2.32,42.22,8.47,9.23,15.71
13,13,random_forest_week_prev,52735.41993939393,31187.773100000224,0.9777107014574252,70640.5996727273,1.85,33.64,6.75,7.35,12.52
14,14,linear_week_prev,81908.52590744274,44898.50350209,0.9205449853273134,87029.58728653591,2.28,41.45,8.31,9.06,15.42
15,15,xgb_week_prev,43642.605976107225,28520.25499999989,0.9849551571375892,66527.31289675602,1.74,31.68,6.35,6.92,11.79
16,16,tree_week_prev_diff,64715.72349001694,38320.17634146265,0.9610043317454052,83427.91087210721,2.18,39.73,7.97,8.68,14.78
17,17,random_forest_week_prev_diff,52782.84821367523,31586.37240000046,0.9778503634515662,68190.3193752603,1.79,32.47,6.51,7.1,12.08
18,18,linear_week_prev_diff,87370.44582864144,50234.90699071461,0.9142232100059172,88700.55195475338,2.32,42.24,8.47,9.23,15.72
19,19,xgb_week_prev_diff,46130.88604118104,30040.869999999995,0.9842506309315912,62588.36092987568,1.64,29.81,5.98,6.51,11.09
20,20,tree_week_prev_diff_no_holiday,61719.15802998083,37226.31529411697,0.9644555866188445,85859.82668676114,2.25,40.89,8.2,8.94,15.21
21,21,random_forest_week_prev_diff_no_holiday,49986.96613395494,30998.24670000072,0.9818768354148606,71263.1549284227,1.87,33.94,6.81,7.42,12.63
22,22,linear_week_prev_diff_no_holiday,85975.15172187625,42929.20364838769,0.9032086133689728,86273.63883414381,2.26,41.09,8.24,8.98,15.29
23,23,xgb_week_prev_diff_no_holiday,48093.51018745144,30853.88624999998,0.9816583866828796,66528.34776767677,1.74,31.68,6.35,6.92,11.79
24,24,tree_week_prev_diff_store,65630.21176940131,36540.23173076939,0.9573887766280929,87798.76818617183,2.3,41.81,8.39,9.14,15.56
25,25,random_forest_week_prev_diff_store,53538.53240240868,32814.80250000022,0.9778757727765952,69729.0034431702,1.83,33.21,6.66,7.26,12.36
26,26,linear_week_prev_diff_store,88999.59848387366,51053.68461870356,0.913197450288196,90781.41377110554,2.38,43.23,8.67,9.45,16.09
27,27,xgb_week_prev_diff_store,45234.36633498446,28392.889999999898,0.9848224414100092,81140.2570421523,2.12,38.64,7.75,8.45,14.38
