,model,mae,median,r2,score,score_by_max,score_by_min,score_by_mean,score_by_median,score_by_std
0,tree_noeng,84528.03844103526,49047.07062499988,0.9098090107690808,583240.541650434,15.27,277.75,55.71,60.71,103.34
1,random_forest_noeng,75610.88190178711,37999.522400000016,0.9309838888813292,543197.2220520435,14.22,258.68,51.88,56.54,96.25
2,linear_noeng,432978.4707182542,393082.5327230834,0.15519819546251357,469524.0295420152,12.3,223.6,44.85,48.87,83.19
3,xgb_noeng,69251.61563665501,40109.564999999944,0.9492834077909794,536853.2874361888,14.06,255.66,51.28,55.88,95.12
4,tree_noeng_nostore,346101.34753023525,237083.92127516825,0.23513555076398562,727131.5558430828,19.04,346.28,69.45,75.68,128.84
5,random_forest_noeng_nostore,392013.7273420969,277347.1675000014,0.09497187548572628,705502.07550115,18.47,335.98,67.39,73.43,125.01
6,linear_noeng_nostore,459003.15281988785,453239.2316038298,0.024256562533991777,499858.3530696604,13.09,238.04,47.74,52.03,88.57
7,xgb_noeng_nostore,361764.3799396003,286374.8700000001,0.23735200408935297,675775.4092566705,17.7,321.82,64.55,70.34,119.74
8,tree_week,339520.14935514366,252827.4624137932,0.2873669217422029,736816.9147116212,19.3,350.89,70.38,76.69,130.56
9,random_forest_week,398005.3359124992,265231.1556500008,0.027922449755448997,695067.2442522527,18.2,331.01,66.39,72.35,123.16
10,linear_week,478110.6420985543,461358.7900585738,0.030259676568353933,499710.50333800464,13.09,237.97,47.73,52.01,88.54
11,xgb_week,376152.28148140054,296225.595,0.28841259588277335,665544.4722310423,17.43,316.95,63.57,69.27,117.93
12,tree_week_prev,62582.59905964831,37248.43742857175,0.9676218052209324,90782.86011921377,2.38,43.23,8.67,9.45,16.09
13,random_forest_week_prev,49559.05734032633,31465.89049999998,0.9828714460706288,71231.45333398602,1.87,33.92,6.8,7.41,12.62
14,linear_week_prev,84739.78308587069,47148.79781331937,0.9256005460364207,87029.58728653591,2.28,41.45,8.31,9.06,15.42
15,xgb_week_prev,42243.32959256022,27601.764999999898,0.9866998534301666,64512.623049436676,1.69,30.72,6.16,6.71,11.43
16,tree_week_prev_diff,65054.68099881773,39840.262671756034,0.9604526428765492,85515.92490526746,2.24,40.72,8.17,8.9,15.15
17,random_forest_week_prev_diff,49077.72318873351,29202.620300000184,0.9788153232286969,68778.8678381663,1.8,32.75,6.57,7.16,12.19
18,linear_week_prev_diff,92056.26462544377,44358.23830549314,0.8812662477099684,88700.55195475338,2.32,42.24,8.47,9.23,15.72
19,xgb_week_prev_diff,45318.70714597902,28028.255000000005,0.9848843590905982,62394.92187325175,1.63,29.71,5.96,6.49,11.06
20,tree_week_prev_diff_no_holiday,68270.48911488116,39101.76799999992,0.9523095248913823,90939.40407125828,2.38,43.31,8.69,9.47,16.11
21,random_forest_week_prev_diff_no_holiday,52319.60453721837,33482.040600000066,0.9789427416388644,70734.52732923078,1.85,33.69,6.76,7.36,12.53
22,linear_week_prev_diff_no_holiday,83014.87717846637,45714.96815834136,0.9298121179237472,86273.63883414381,2.26,41.09,8.24,8.98,15.29
23,xgb_week_prev_diff_no_holiday,44215.13331148018,27247.982500000042,0.9849337758476865,64371.13253651904,1.69,30.65,6.15,6.7,11.41
24,tree_week_prev_diff_store,59283.62662305095,37077.65333333332,0.9732406200083814,87082.60345334199,2.28,41.47,8.32,9.06,15.43
25,random_forest_week_prev_diff_store,50978.79724902874,32286.404699999373,0.9815595646926638,70372.90693179489,1.84,33.51,6.72,7.32,12.47
26,linear_week_prev_diff_store,94119.81132317056,48815.81840583292,0.8941038277592246,90781.41377110554,2.38,43.23,8.67,9.45,16.09
27,xgb_week_prev_diff_store,45553.66148649961,27465.400000000023,0.9835146444084931,67456.06630448716,1.77,32.12,6.44,7.02,11.95
